Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
1132,21-15-20-3,ISRLU,SSE,500,0.01,0.95,100.00%,0.1819
1120,21-15-20-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.1827
1048,21-15-20-3,ISRLU,MSE,500,0.01,0.5,100.00%,0.1835
1067,21-20-45-3,ISRLU,MSE,300,0.01,0.95,100.00%,0.1835
1049,21-20-45-3,ISRLU,MSE,500,0.01,0.5,100.00%,0.1836
30,21-12-3,ISRLU,CEE,500,0.01,0.95,100.00%,0.1838
31,21-15-3,ISRLU,CEE,500,0.01,0.95,100.00%,0.1838
33,21-12-3,ISRLU,CEE,300,0.01,0.95,100.00%,0.1838
240,21-12-3,ISRLU,SSE,500,0.01,0.95,100.00%,0.1838
7,21-15-3,ISRLU,CEE,500,0.01,0.5,100.00%,0.1839
9,21-12-3,ISRLU,CEE,300,0.01,0.5,100.00%,0.1839
12,21-12-3,ISRLU,CEE,500,0.01,0.75,100.00%,0.1839
15,21-12-3,ISRLU,CEE,300,0.01,0.75,100.00%,0.1839
21,21-12-3,ISRLU,CEE,300,0.01,0.75,100.00%,0.1839
34,21-15-3,ISRLU,CEE,300,0.01,0.95,100.00%,0.1839
35,21-20-3,ISRLU,CEE,300,0.01,0.95,100.00%,0.1839
665,21-20-3,RELU,CEE,300,0.01,0.75,100.00%,0.1839
682,21-15-3,RELU,CEE,300,0.01,0.95,100.00%,0.1839
980,21-15-20-3,ISRLU,CEE,500,0.01,0.75,100.00%,0.1839
1009,21-20-45-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1839
1003,21-20-45-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.184
1004,21-15-20-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.184
1012,21-15-20-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.184
1016,21-15-20-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.184
1017,21-20-45-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.184
1018,21-15-20-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.184
1057,21-20-45-3,ISRLU,MSE,500,0.01,0.75,100.00%,0.184
660,21-12-3,RELU,CEE,500,0.01,0.75,100.00%,0.1841
1010,21-15-20-3,ISRLU,CEE,300,0.001,0.75,100.00%,0.1841
1019,21-20-45-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.1841
1125,21-20-45-3,ISRLU,SSE,500,0.01,0.75,100.00%,0.1841
32,21-20-3,ISRLU,CEE,500,0.01,0.95,100.00%,0.1842
62,21-20-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.1842
1129,21-20-45-3,ISRLU,SSE,500,0.01,0.75,100.00%,0.1842
1130,21-15-20-3,ISRLU,SSE,300,0.01,0.75,100.00%,0.1842
16,21-15-3,ISRLU,CEE,300,0.01,0.75,100.00%,0.1843
36,21-12-3,ISRLU,CEE,500,0.001,0.5,100.00%,0.1843
61,21-15-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.1843
692,21-20-3,RELU,CEE,500,0.001,0.5,100.00%,0.1843
709,21-15-3,RELU,CEE,500,0.001,0.95,100.00%,0.1843
1005,21-20-45-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1843
1118,21-15-20-3,ISRLU,SSE,300,0.01,0.5,100.00%,0.1843
1131,21-20-45-3,ISRLU,SSE,300,0.01,0.75,100.00%,0.1843
29,21-20-3,ISRLU,CEE,300,0.01,0.95,100.00%,0.1844
49,21-15-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1844
54,21-12-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1844
116,21-20-3,ISRLU,MSE,500,0.01,0.5,100.00%,0.1844
1135,21-20-45-3,ISRLU,SSE,300,0.01,0.95,100.00%,0.1844
43,21-15-3,ISRLU,CEE,500,0.001,0.5,100.00%,0.1845
51,21-12-3,ISRLU,CEE,300,0.001,0.75,100.00%,0.1845
698,21-20-3,RELU,CEE,500,0.001,0.75,100.00%,0.1845
1122,21-15-20-3,ISRLU,SSE,300,0.01,0.5,100.00%,0.1845
48,21-12-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1846
689,21-20-3,RELU,CEE,300,0.001,0.5,100.00%,0.1847
988,21-15-20-3,ISRLU,CEE,500,0.01,0.95,100.00%,0.1847
71,21-20-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.1848
707,21-20-3,RELU,CEE,300,0.001,0.75,100.00%,0.1848
694,21-15-3,RELU,CEE,300,0.001,0.5,100.00%,0.1849
53,21-20-3,ISRLU,CEE,300,0.001,0.75,100.00%,0.185
998,21-15-20-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.185
1117,21-20-45-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.185
40,21-15-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.1851
113,21-20-3,ISRLU,MSE,300,0.01,0.5,100.00%,0.1851
1124,21-15-20-3,ISRLU,SSE,500,0.01,0.75,100.00%,0.1851
20,21-20-3,ISRLU,CEE,500,0.01,0.75,100.00%,0.1852
140,21-20-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1852
1116,21-15-20-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.1852
1273,21-20-45-3,TANH,MSE,500,0.01,0.75,100.00%,0.1852
1281,21-20-45-3,TANH,MSE,500,0.01,0.95,100.00%,0.1852
1349,21-20-45-3,TANH,SSE,500,0.01,0.95,100.00%,0.1852
1353,21-20-45-3,TANH,SSE,500,0.01,0.95,100.00%,0.1852
114,21-12-3,ISRLU,MSE,500,0.01,0.5,100.00%,0.1853
712,21-15-3,RELU,CEE,300,0.001,0.95,100.00%,0.1853
